vaccine,country,activity_type,gavi_support,year,age_first,age_last,gender,target,coverage,subnational
YF,AFG,campaign,True,2021,1,10,both,0.8005109542662613,0.7615587978178703,False
YF,AFG,campaign,True,2022,1,10,both,0.22099534187196257,0.21877105858798584,False
YF,AFG,campaign,True,2023,1,10,both,0.7543087111925675,0.676473122112865,False
YF,AFG,campaign,True,2024,1,10,both,0.23312809687471092,0.6635013361602835,False
YF,AFG,campaign,True,2025,1,10,both,0.29814054170511184,0.39469619121940047,False
YF,AFG,campaign,True,2026,1,10,both,0.3864922902590031,0.04420446450379445,False
YF,AFG,campaign,True,2027,1,10,both,0.8229658420169986,0.6988041588601557,False
YF,AFG,campaign,True,2028,1,10,both,0.5056532692395332,0.8829775028805451,False
YF,AFG,campaign,True,2029,1,10,both,0.4322697810512318,0.08507198675742955,False
YF,AFG,campaign,True,2030,1,10,both,0.8289889142547621,0.3471210213610759,False
YF,AFG,routine,True,2021,1,10,both,0.20417181621055402,0.3239204531344416,False
YF,AFG,routine,True,2022,1,10,both,0.26558678429119653,0.013615049827901737,False
YF,AFG,routine,True,2023,1,10,both,0.8281537528895504,0.8362522863143552,False
YF,AFG,routine,True,2024,1,10,both,0.1954432992894286,0.30183002776091505,False
YF,AFG,routine,True,2025,1,10,both,0.3287666084290294,0.2883716505165069,False
YF,AFG,routine,True,2026,1,10,both,0.5826992085036257,0.33416040781645684,False
YF,AFG,routine,True,2027,1,10,both,0.6163675672712345,0.9683405809625524,False
YF,AFG,routine,True,2028,1,10,both,0.8349860594398598,0.25211201330968125,False
YF,AFG,routine,True,2029,1,10,both,0.1586456323437928,0.4801036899180452,False
YF,AFG,routine,True,2030,1,10,both,0.35020897548003027,0.33439855359461057,False
YF,AGO,campaign,True,2021,1,10,both,0.7374517733821543,0.49856653722907374,False
YF,AGO,campaign,True,2022,1,10,both,0.6650785298411664,0.4118072496349263,False
YF,AGO,campaign,True,2023,1,10,both,0.6073557839576197,0.07517407142242971,False
YF,AGO,campaign,True,2024,1,10,both,0.20864689235307143,0.8174635924743289,False
YF,AGO,campaign,True,2025,1,10,both,0.08807683723315585,0.7174844763683768,False
YF,AGO,campaign,True,2026,1,10,both,0.7114659613585363,0.36136456184220545,False
YF,AGO,campaign,True,2027,1,10,both,0.8876285649873152,0.962897093227514,False
YF,AGO,campaign,True,2028,1,10,both,0.32632293243153243,0.9332890522314365,False
YF,AGO,campaign,True,2029,1,10,both,0.9563683491773026,0.20137742721106633,False
YF,AGO,campaign,True,2030,1,10,both,0.11304497120849089,0.6490996311079898,False
YF,AGO,routine,True,2021,1,10,both,0.6531083312808109,0.47917645492498584,False
YF,AGO,routine,True,2022,1,10,both,0.9670482262514335,0.3128581917737041,False
